unique_sample_id,class_id,class_name,component_id,area_pixels,centroid_y,centroid_x
Normal__N_24.jpg,12,T12,1,3203,381.2944114892288,166.82734935997502
Normal__N_24.jpg,13,L1,1,3484,415.052812858783,174.12571756601608
Normal__N_24.jpg,14,L2,1,5021,456.22067317267476,173.32244572794264
Normal__N_24.jpg,14,L2,5,43,496.5581395348837,123.6046511627907
Normal__N_24.jpg,15,L3,1,4184,497.1782982791587,171.01720841300192
Normal__N_24.jpg,16,L4,1,7006,540.0796460176991,162.2222380816443
Normal__N_24.jpg,17,L5,1,6552,585.2469474969475,152.6698717948718
Normal__N_24.jpg,17,L5,3,134,561.5074626865671,226.27611940298507
Normal__N_24.jpg,17,L5,4,101,564.4257425742575,78.01980198019803
Normal__N_26.jpg,1,T1,1,2161,89.11800092549746,122.39657565941694
Normal__N_26.jpg,2,T2,1,1850,112.00864864864865,123.14324324324325
Normal__N_26.jpg,3,T3,1,3357,146.4745308310992,126.11587727137325
Normal__N_26.jpg,4,T4,10,57,163.28070175438597,163.82456140350877
Normal__N_26.jpg,4,T4,19,463,174.49676025917927,116.96760259179266
Normal__N_26.jpg,4,T4,29,44,195.8181818181818,109.0909090909091
Normal__N_26.jpg,5,T5,4,58,168.6551724137931,146.89655172413794
Normal__N_26.jpg,5,T5,6,1693,189.61134081512108,143.26934435912582
Normal__N_26.jpg,6,T6,2,1708,214.85480093676816,145.7804449648712
Normal__N_26.jpg,7,T7,1,1805,240.8060941828255,150.6426592797784
Normal__N_26.jpg,8,T8,1,2094,269.2134670487106,155.6031518624642
Normal__N_26.jpg,9,T9,2,1831,297.6575641725833,155.1622064445658
Normal__N_26.jpg,10,T10,1,1810,322.18342541436465,149.20773480662984
Normal__N_26.jpg,11,T11,1,3392,351.55630896226415,154.03125
Normal__N_26.jpg,12,T12,1,36,360.0,104.02777777777777
Normal__N_26.jpg,12,T12,3,3261,386.1180619441889,153.16804661146887
Normal__N_26.jpg,13,L1,1,3601,420.2782560399889,147.971119133574
Normal__N_26.jpg,14,L2,1,4185,459.05806451612904,153.3574671445639
Normal__N_26.jpg,15,L3,1,4264,498.9488742964353,157.56683864915573
Normal__N_26.jpg,15,L3,3,139,534.5035971223022,216.77697841726618
Normal__N_26.jpg,16,L4,1,38,509.39473684210526,140.94736842105263
Normal__N_26.jpg,16,L4,3,5248,541.0224847560976,167.96608231707316
Normal__N_26.jpg,17,L5,1,4692,579.4795396419437,175.9539641943734
Normal__N_27.jpg,1,T1,1,2361,87.40830156713257,126.89707750952986
Normal__N_27.jpg,2,T2,1,2152,110.11198884758365,125.99814126394052
Normal__N_27.jpg,3,T3,1,2877,139.11435523114355,124.77719847062913
Normal__N_27.jpg,3,T3,15,98,181.53061224489795,124.98979591836735
Normal__N_27.jpg,4,T4,1,44,142.6818181818182,96.47727272727273
Normal__N_27.jpg,4,T4,4,44,144.47727272727272,117.02272727272727
Normal__N_27.jpg,4,T4,9,192,152.54166666666666,111.63541666666667
Normal__N_27.jpg,4,T4,11,833,175.15126050420167,131.99279711884753
Normal__N_27.jpg,5,T5,4,1080,173.77777777777777,96.11296296296297
Normal__N_27.jpg,5,T5,7,405,183.6074074074074,147.38765432098765
Normal__N_27.jpg,5,T5,15,152,204.9078947368421,128.02631578947367
Normal__N_27.jpg,6,T6,9,2880,216.73541666666668,116.27465277777777
Normal__N_27.jpg,7,T7,1,108,199.57407407407408,83.26851851851852
Normal__N_27.jpg,7,T7,2,2037,246.4074619538537,110.77270495827197
Normal__N_27.jpg,7,T7,5,58,223.63793103448276,150.17241379310346
